Student,Teacher
 hola hola buenos días aquí estamos para hablar de lo que sea cuéntame qué andas haciendo,"Hola, buenos días. Aquí estamos para hablar de lo que sea. Cuéntame, ¿qué estás haciendo?"
" Hola, buenas tardes, estoy aquí con mi hija, mi mujer. Acabamos de cenar y bueno, ahora no sé qué vamos a hacer.","Hola, buenas tardes. Estoy aquí con mi hija y mi mujer. Acabamos de cenar y ahora no sé qué vamos a hacer."
" Bueno, para la cena hemos comido un poco de totilla con muchas verduras y bueno realmente no sos por salir a comer realmente lo que nos gusta más es estar en casa tranquilamente.","Bueno, para la cena hemos comido un poco de tortilla con muchas verduras. Realmente no somos de salir a comer, lo que más nos gusta es estar en casa tranquilamente."
" Sí, estoy de acuerdo. Es bien pasar tiempo tranquilamente, y especialmente porque tenemos una hija con solo dos años y pico, y bueno, a veces se pone poco pesada en los restaurantes y eso, así que claro, en casa más tranquila.","Sí, estoy de acuerdo. Es bueno pasar tiempo tranquilamente, especialmente porque tenemos una hija de solo dos años y pico. A veces se pone un poco pesada en los restaurantes, así que, por supuesto, es más tranquilo estar en casa."
" Pues este fin de ver qué planes tenemos. Igual vamos a las montañas otra vez para hacer un poco de senderismo y depende poco en el tiempo si hace bueno, si no nos quedamos en casa yo creo.","Pues este fin de semana veremos qué planes tenemos. Igual vamos a las montañas otra vez para hacer un poco de senderismo, y depende del tiempo, si hace buen tiempo, si no, nos quedamos en casa, creo yo."
" Hola, voy a hablar unos minutos, no, unos momentos y vamos a ver cuánto tiempo tarda en traducirlo.","Hola, voy a hablar unos momentos y vamos a ver cuánto tiempo tarda en traducirlo."
" Hola, esta es una prueba. A ver que pasa.","Hola, esta es una prueba. A ver qué pasa."
" Hola, gracias. No, no le voy a ir a la cama.","Hola, gracias. No, no voy a ir a la cama."
" Hola buenas noches, he hecho los cambios.","Hola, buenas noches. He hecho los cambios."
" Hola, hoy quería practicar una simulación de llegar a mi coche a Altair.","Hola, hoy quería practicar una simulación de llegar a mi coche en Altair."
" Hello, good afternoon, I'm here drinking a coffee and drawing. and I'm trying to talk to you.","Hello, good afternoon. I'm here drinking coffee and drawing, and I'm trying to talk to you."
 hola hola buenas tardes aquí cerca de madrid está lloviendo montor hoy hace lugar para ti no estás como hace,"Hola, buenas tardes. Aquí cerca de Madrid está lloviendo mucho hoy. ¿Hace lugar para ti? ¿No estás como hace frío?"
" Hola, buenas tardes. Aquí estoy en Cerque de Madrid, donde está lloviendo un montón y bueno, por lo menos estoy dentro de casa. Acabo de comer. ¿Qué haces?","Hola, buenas tardes. Estoy aquí en Cerca de Madrid, donde está lloviendo mucho y, bueno, al menos estoy dentro de casa. Acabo de comer. ¿Qué estás haciendo?"
" Hola, buenas tardes. ¿Qué tal estás? Aquí estoy en mi casa porque fuera duele mucho y bueno hace bastante mal hoy. ¿Y para ti qué tiempo tienes?","Hola, buenas tardes. ¿Cómo estás? Estoy en casa porque afuera hace mucho frío y hoy está bastante mal tiempo. ¿Y tú qué tiempo hace?"
" Vivo en Madrid, el capital de España, y bueno, realidad un poco fuera de la ciudad, pero muy cerca.","Vivo en Madrid, la capital de España, y bueno, en realidad vivo un poco fuera de la ciudad, pero muy cerca."
 Hemos terminado.,Hemos terminado.
" Hola, buenas tardes. ¿Qué tal estamos?","Hola, buenas tardes. ¿Cómo estás?"
" Hola, ¿qué tal estamos?","Hola, ¿cómo estás?"
" Hola, buenos tardes, ¿qué tal estamos?","Hola, buenas tardes, ¿cómo estás?"
" Bueno, me estoy bien también, gracias.","Bueno, también estoy bien, gracias."
" Hola, buenas tardes. ¿Qué tal? ¿Estamos?","Hola, buenas tardes. ¿Qué tal? ¿Estás?"
" Bueno, hoy quiero hablar sobre la política.","Bueno, hoy quiero hablar de política."
" Sí, quiero hablar sobre Corea Norte, ¿qué te parece el sistema que tienen ahí?","Sí, quiero hablar sobre Corea del Norte. ¿Qué te parece el sistema que tienen allí?"
" No es que he leído sobre este, pero he oído, de un sistema de hackers que vienen de Corea Norte que habían robado millones y millones de dinero en Bitcoin.","No es que haya leído sobre esto, pero he oído hablar de un sistema de hackers que viene de Corea del Norte y que ha robado millones y millones de dólares en Bitcoin."
 ¿Entiendes cómo funcionan los críptomos de edad?  Porque a mí me queda... me quedo muy confuso.,¿Entiendes cómo funcionan las criptomonedas antiguas? Porque a mí me queda... me quedo muy confundido.
 Hemos terminado.,Hemos terminado.
" Hola, buenas tardes, si tal estamos.","Hola, buenas tardes, ¿cómo estás?"
 Hemos terminado.,Hemos terminado.
" Hola, buenas tardes. ¿Qué te hago? ¿Estás?","Hola, buenas tardes. ¿Qué haces? ¿Estás bien?"
 Hemos terminado.,Hemos terminado.
" Hola, buenas tardes.","Hola, buenas tardes."
 hemos terminado,Hemos terminado.
